source,division,supervisor,unit,department,job_title,job_grade,job_category,job_objective,responsibilities,num_responsibilities
JD,Digital Banking,"Senior Reconciliation and Settlement Officer, Reconciliation and Settlement Officer Associate Reconciliation Officer II, Associate Reconciliation Officer I, Banking Operation Officer, Junior Officer II, Junior Officer I, Bank Trainee.",International Card Transaction Reconciliation,,Team Leader International Card Transaction Reconciliation,14,Operative Level Management: OLM II,"To guide/run the operation of Digi tal Banking Reconciliation and Dispute Management unit incompliance with Digital Banking Procedure and ensure timely reconciliation& settlement of MB and IB, Mobile money and Card related Digital Transactions.","['Supervises, coordinates, assists and assigns tasks to the team;', 'Leads, motivates and manages the Digital Banking Reconciliation and Dispute Management team;', 'Identifies areas of risk and non -compliance with procedures and advises the Manager of Digital Banking Reconciliation and Dispute Management;', 'Reviews the aging report and takes any appropriate action in consultation with the Manager - Digital Banking Reconciliation and Dispute Management team;', 'Keeps track of lessons learned and shares those lessons with team members;', 'Analyzes the genuineness of expenses incurred in relation with his/her area of assignment;', 'Checks and authorizes Income and Expense settlement transaction entries onT24 and Mobile Money system;', 'Closely follows up that charges, fees and commissions are properly settled; Commercial Bank of Ethiopia Job Description', 'Ensures that all transactions are processed accurately and efficiently;', 'Follows up of case escalated to and from different teams and updates the concerned ones;', 'Ensures that all performers in the team discharge duties and responsibilities as indicated in the Digital Banking Procedure;', 'Coordinates and assigns tasks to teams;', 'Conducts periodic performance evaluation of staffs under Digital Banking Reconciliation and Di spute Management Unit;', 'Organizes and involves in the activities of the team;', 'Performs other duties as assigned.']",15
JD,Digital Banking,None,International Card Transaction Reconciliation,,Reconciliation and Settlement Officer,12,Experienced Professional: EP II,To assure the expected activities under Digital Banking Reconciliation and Dispute Management are going as per the procedure and to perform tasks that improve the quality of reconciliation and suspense settlement.,"['Maintains a continuous follow up of settlement accounts;', 'Check posted transactions, reconciles and balances of all account receivable, payable accounts and accounts that have suspense nature on a daily basis;', 'Check and authorize financial and non-financial activities on Mobile money system;', 'Approve daily third party standing instructions on Mobile Money system;', 'Maintains tickets, reports and tracer or evidenti al document under her/his custody for further reference;', 'Prepares suspense aging report and forwards to the Team leader and Manager on monthly basis;', 'Performs other duties as assigned.']",7
JD,Digital Banking,None,International Card Transaction Reconciliation,,Associate Reconciliation Officer II,11,Experienced Professional: EP II,"To assure the expected activities under Digital Banking Reconciliation and Dispute Management are going as per the procedure and to perform tasks that improve the quality of reconciliation, suspense settlement and dispute management.","['Processes merchant file, checks the status of failed transactions and reprocess, forwards merchant file report to the concerned;', 'Process manual refunds on Card Banking system;', 'Maintains a continuous follow up for settlement of the account and post transaction entries;', 'Generate reports from international payment scheme, Eth -switch, Mobile Money, Core Banking, Card Banking, International Money Transfer Services, Business Intelligence and third parties system for day to day activities;', 'Checks and release all unsuccessful POS locked transaction on Core banking;', 'Reconciles and settles acquiring and issuing Card related transactions made through International Scheme, Eth-switch, Mobile& Internet Banking and Mobile Money;', 'Check and settle exception transactions, related charges and commissions/ revenue and other relevant information and informs the concerned organs;', 'Prepares daily, weekly, monthly and quarterly reconciliation report and forwards to concerned staff;', 'Receives and handles any dispute transaction obtained through call center, Customers application, e- mail, Branch and other organs;', 'Generates and collects source document for dispute transactions from ATM, Card Banking, International Payment Scheme, Mobile Money, merchants and third parries; Commercial Bank of Ethiopia Job Description', 'Timely follows up and settles claims from a merchant related with dispute transaction amount and fees ( if any) as per Banks procedure, Payment facilitators scheme and Third party contractual agreement;', 'Prepares and organizes adjustment document for posting of disputed transaction;', 'Process daily third party standing instructions on Mobile Money system;', 'Performs other duties as assigned.']",14
JD,Digital Banking,None,International Card Transaction Reconciliation,,Banking Operation Officer,10,Professional: P II,"To accomplish transactional activities like reconciliation, posting and give timely response to requesting body in line with the Digital Banking Procedure with efficient service as per SDT.","['Maintains a continuous follow up for settlement of the account and post transaction entries;', 'Generate reports from international payment scheme, Eth -switch, Mobile Money, Core Banking, Card Banking, International Money Transfer Services, Business Intelligence and third parties system for day to day activities;', 'Reconcile POS locked transactions and forward to the concerned staff:', 'Check the deposited FCY amount on prepaid pool account and load to the respective prepaid card on Card banking system;', 'Reconciles and settles acquiring and issuing Card related transactions made through International Scheme, Eth-switch, Mobile& Internet Banking and Mobile Money;', 'Check and settle exception transactions, related charges and commissions/ revenue and other relevant information and informs the concerned organs;', 'Prepares daily, weekly, monthly and quarterly reconciliation report and forwards to concerned staff;', 'Receives and handles any dispute transaction obtained through call center, Customers application, e- mail, Branch and other organs;', 'Generates and collects source document for dispute transactions from ATM, Card Banking, International Payment Scheme, Mobile Money, merchants and third parries;', 'Timely follows up and settles claims from a merchant related with disp ute transaction amount and Commercial Bank of Ethiopia Job Description fees ( if any) as per Banks procedure, Payment facilitators scheme and Third party contractual agreement;', 'Prepares and organizes adjustment document for posting of disputed transaction;', 'Checks and process weekly commission payment transactions;', 'Handling of daily letter request, Posting & adjustment fund transaction & non fund operation letter request timely;', 'Daily Amend and process Wrong Branch E-money creation transaction;', 'Request of Exceptional transaction handling and Follow-up on Mobile Money system;', 'Handling of third party reconciliation, release the unclear & Settlement;', 'Performs other duties as assigned.']",17
JD,Digital Banking,None,International Card Transaction Reconciliation,,Banking Operation Officer,9,Professional: P II,"To accomplish transactional activities like reconciliation, posting and give timely response to requesting body in line with the Digital Banking Procedure with efficient service as per SDT.","['Maintains a continuous follow up for settlement of the account and post transaction entries;', 'Generate reports from international payment scheme, Eth -switch, Mobile Money, Core Banking, Card Banking, International Money Transfer Services, Business Intelligence and third parties system for day to day activities;', 'Reconcile POS locked transactions and forward to the concerned staff:', 'Check the deposited FCY amount on prepaid pool account and load to the respective prepaid card on Card banking system;', 'Reconciles and settles acquiring and issuing Card related transactions made through Inte rnational Scheme, Eth-switch, Mobile& Internet Banking and Mobile Money;', 'Check and settle exception transactions, related charges and commissions/ revenue and other relevant information and informs the concerned organs;', 'Prepares daily, weekly, monthly and quarterly reconciliation report and forwards to concerned staff;', 'Receives and handles any dispute transaction obtained through call center, Customers application, e- mail, Branch and other organs;', 'Generates and collects source document for dispute transac tions from ATM, Card Banking, International Payment Scheme, Mobile Money, merchants and third parries;', 'Timely follows up and settles claims from a merchant related with dispute transaction amount and Commercial Bank of Ethiopia Job Description fees ( if any) as per Banks procedure, Payment facilitato rs scheme and Third party contractual agreement;', 'Prepares and organizes adjustment document for posting of disputed transaction;', 'Checks and process weekly commission payment transactions;', 'Handling of daily letter request, Posting & adjustment fund transact ion & non fund operation letter request timely;', 'Daily Amend and process Wrong Branch E-money creation transaction;', 'Request of Exceptional transaction handling and Follow-up on Mobile Money system;', 'Handling of third party reconciliation, release the unclear & Settlement;', 'Performs other duties as assigned.']",17
JD,Digital Banking,None,International Card Transaction Reconciliation,,Junior Officer II,8,Junior Level: JL II,"To accomplish transactional activities like reconciliation, posting and give timely response to requesting body in line with the Digital Banking Procedure with efficient service as per SDT.","['Maintains a continuous follow up for settlement of the account and post transaction entries;', 'Generate reports from international payment scheme, Eth -switch, Mobile Money, Co re Banking, Card Banking, International Money Transfer Services, Business Intelligence and third parties system for day to day activities;', 'Reconciles and settles acquiring and issuing Card related transactions made through International Scheme, Eth-switch, Mobile& Internet Banking and Mobile Money;', 'Check and settle exception transactions, related charges and commissions/ revenue and other relevant information and informs the concerned organs;', 'Prepares daily, weekly, monthly and quarterly reconciliation report and forwards to concerned staff;', 'Receives and handles any dispute transaction obtained through call center, Customers application, e- mail, Branch and other organs;', 'Generates and collects source document for dispute transactions from ATM, Card Banking , International Payment Scheme, Mobile Money, merchants and third parries;', 'Timely follows up and settles claims from a merchant related with dispute transaction amount and fees ( if any) as per Banks procedure, Payment facilitators scheme and Third party co ntractual agreement;', 'Check and post the prepaid card pool account for new prepaid card request and re -load for reloadable cards as per the requesting organs; Commercial Bank of Ethiopia Job Description', 'Prepares and organizes adjustment document for posting of disputed transaction;', 'Properly checks and settles adjustment request from branches and other third parties;', 'Process weekly commission payment transactions;', 'Handling of daily letter request, Posting & adjustment fund transaction & non fund operation letter request timely;', 'Daily Amend and process Wrong Branch E-money creation transaction;', 'Request of Exceptional transaction handling and Follow-up on Mobile Money system;', 'Handling of third party reconciliation, release the unclear & Settlement;', 'Performs other duties as assigned.']",17
JD,Digital Banking,None,International Card Transaction Reconciliation,,Junior Officer I,7,Junior Level: JL II,"To accomplish transactional activities like reconciliation, posting and give timely response to requesting body in line with the Digital Banking Procedure with efficient service as per SDT.","['Maintains a continuous follow up for settlement of the account and post transaction entries;', 'Generate reports from international payment scheme, Eth -switch, Mobile Money, Core Banking, Card Banking, International Money Transfer Services, Business Intelligence and third parties system for day to day activities;', 'Reconciles and settles acquiring and issuing Card related transactions made through International Scheme, Eth-switch, Mobile& Internet Banking and Mobile Money;', 'Check and settle exception transactions, related charges and commissions/ revenue and other relevant information and informs the concerned organs;', 'Prepares daily, weekly, monthly and quarterly reconciliation report and forwards to concerned staff;', 'Receives and handles any disp ute transaction obtained through call center, Customers application, e- mail, Branch and other organs;', 'Generates and collects source document for dispute transactions from ATM, Card Banking, International Payment Scheme, Mobile Money, merchants and third parries;', 'Timely follows up and settles claims from a merchant related with dispute transaction amount and fees ( if any) as per Banks procedure, Payment facilitators scheme and Third party contractual agreement;', 'Check and post the prepaid card pool account for new prepaid card request and re-load for reloadable Commercial Bank of Ethiopia Job Description cards as per the requesting organs;', 'Prepares and organizes adjustment document for posting of disputed transaction;', 'Properly checks and settles adjustment request from branches and other third parties;', 'Process weekly commission payment transactions;', 'Handling of daily letter request, Posting & adjustment fund transaction & non fund operation letter request timely;', 'Daily Amend and process Wrong Branch E-money creation transaction;', 'Request of Exceptional transaction handling and Follow-up on Mobile Money system;', 'Handling of third party reconciliation, release the unclear & Settlement;', 'Performs other duties as assigned.']",17
JD,Digital Banking,None,International Card Transaction Reconciliation,,Bank Trainee,6,Junior Level: JL II,"To accomplish transactional activities like reconciliation, posting and give timely res ponse to requesting body in line with the Digital Banking Procedure with efficient service as per SDT.","['Maintains a continuous follow up for settlement of the account and post transaction entries;', 'Generate reports from international payment scheme, Eth -switch, Mobile Money, Core Banking, Card Banking, International Money Transfer Services, Business Intelligence and third parties system for day to day activities;', 'Reconciles and settles acquiring and issuing Card related transactions made through International Scheme, Eth-switch, Mobile& Internet Banking and Mobile Money;', 'Check and settle exception transactions, related charges and commissions/ revenue and other relevant information and informs the concerned organs;', 'Prepares daily, weekly, monthly and quarterly reconciliation report and forwards to concerned staff;', 'Receives and handles any dispute transaction obtained through call center, Customers application, e- mail, Branch and other organs;', 'Generates and collects source document for dispute transactions from ATM, Card Banking, International Payment Scheme, Mobile Money, merchants and third parries;', 'Timely follows up and settles claims from a merchant related with dispute transaction amount and fees ( if any) as per Banks procedure, Payment facilitators scheme and Third party contractual agreement;', 'Check and post the prepaid card pool account for new prepaid card request and re -load for reloadable Commercial Bank of Ethiopia Job Description cards as per the requesting organs;', 'Prepares and organizes adjustment document for posting of disputed transaction;', 'Properly checks and settles adjustment request from branches and other third parties;', 'Process weekly commission payment transactions;', 'Handling of daily letter request, Posting & adjustment fund transaction & non fund operation letter request timely;', 'Daily Amend and process Wrong Branch E-money creation transaction;', 'Request of Exceptional transaction handling and Follow-up on Mobile Money system;', 'Handling of third party reconciliation, release the unclear & Settlement;', 'Performs other duties as assigned.']",17
JD,Digital Banking,"Senior Re conciliation and Settlement Officer, Reconciliation and Settlement Officer Associate Reconciliation Officer II, Associate Reconciliation Officer I, Banking Operation Officer, Junior Officer II, Junior Officer I, Bank Trainee.",Domestic Card Transaction Reconciliation,,Team Leader Domestic Card Transaction Reconciliation,14,Operative Level Management: OLM II,"To guide/run the operation of Digital Banking Reconciliation and Dispute Management unit incompliance with Digi tal Banking Procedure and ensure timely reconciliation& settlement of MB and IB, Mobile money and Card related Digital Transactions.","['Supervises, coordinates, assists and assigns tasks to the team;', 'Leads, motivates and manages the Digital Banking Reconciliation and Dispute Management team;', 'Identifies areas of risk and non -compliance with procedures and advises the Manager of Digital Banking Reconciliation and Dispute Management;', 'Reviews the aging report and takes any appropriate action in consultation with the Manager - Digital Banking Reconciliation and Dispute Management team;', 'Keeps track of lessons learned and shares those lessons with team members;', 'Analyzes the genuineness of expenses incurred in relation with his/her area of assignment;', 'Checks and authorizes Income and Expense settlement transaction entries onT24 and Mobile Money system;', 'Closely follows up that charges, fees and commissions are properly settled; Commercial Bank of Ethiopia Job Description', 'Ensures that all transactions are processed accurately and efficiently;', 'Follows up of case escalated to and from different teams and updates the concerned ones;', 'Ensures that all performers in the team discharge duties and responsibilities as indicated in the Digital Banking Procedure;', 'Coordinates and assigns tasks to teams;', 'Conducts periodic performance evaluation of staffs under Digital Banking Reconciliation and Dispute Management Unit;', 'Organizes and involves in the activities of the team;', 'Performs other duties as assigned.']",15
JD,Digital Banking,None,Domestic Card Transaction Reconciliation,,Reconciliation and Settlement Officer,12,Experienced Professional: EP II,To assure the expected activities under Digital Banking Reconc iliation and Dispute Management are going as per the procedure and to perform tasks that improve the quality of reconciliation and suspense settlement.,"['Maintains a continuous follow up of settlement accounts;', 'Check posted transactions, reconciles and balances of all account receivable, payable accounts and accounts that have suspense nature on a daily basis;', 'Check and authorize financial and non-financial activities on Mobile money system;', 'Approve daily third party standing instructions on Mobile Money system;', 'Maintains tickets, reports and tracer or evidential document under her/his custody for further reference;', 'Prepares suspense aging report and forwards to the Team leader and Manager on monthly basis;', 'Performs other duties as assigned.']",7
JD,Digital Banking,None,Domestic Card Transaction Reconciliation,,Associate Reconciliation Officer II,11,Experienced Professional: EP II,"To assure the expected activities under Digital Banking Reconciliation and Dispute Management are going as per the pr ocedure and to perform tasks that improve the quality of reconciliation, suspense settlement and dispute management.","['Processes merchant file, checks the status of failed transactions and reprocess, forwards merchant file report to the concerned;', 'Process manual refunds on Card Banking system;', 'Maintains a continuous follow up for settlement of the account and post transaction entries;', 'Generate reports from international payment scheme, Eth -switch, Mobile Money, Core Banking, Card Banking, International Money Transfer Services, Business Intelligence and third parties system for day to day activities;', 'Checks and release all unsuccessful POS locked transaction on Core banking;', 'Reconciles and settles acquiring and issuing Card related transactions made through International Scheme, Eth-switch, Mobile& Internet Banking and Mobile Money;', 'Check and settle exception transactions, related charges and commissions/ revenue and other relevant information and informs the concerned organs;', 'Prepares daily, weekly, monthly and quarterly reconciliation report and forwards to concerned staff;', 'Receives and handles any dispute transaction obtained through call center, Customers application, e- mail, Branch and other organs;', 'Generates and collects source document for dispute transactions from ATM, Card Banking, Commercial Bank of Ethiopia Job Description International Payment Scheme, Mobile Money, merchants and third parries;', 'Timely follows up and settles claims from a merchant related with dispute transaction amount and fees ( if any) as per Banks procedure, Payment facilitators scheme and Third party contractual agreement;', 'Prepares and organizes adjustment document for posting of disputed transaction;', 'Process daily third party standing instructions on Mobile Money system;', 'Performs other duties as assigned.']",14
JD,Digital Banking,None,Domestic Card Transaction Reconciliation,,Banking Operation Officer,9,Professional: P II,"To accomplish transactional activities like reconciliation, posting and give timely response to requesting body in line with the Digital Banking Procedure with efficient service as per SDT.","['Maintains a continuous follow up for settlement of the account and post transaction entries;', 'Generate report s from international payment scheme, Eth -switch, Mobile Money, Core Banking, Card Banking, International Money Transfer Services, Business Intelligence and third parties system for day to day activities;', 'Reconcile POS locked transactions and forward to the concerned staff:', 'Check the deposited FCY amount on prepaid pool account and load to the respective prepaid card on Card banking system;', 'Reconciles and settles acquiring and issuing Card related transactions made through International Scheme, Eth-switch, Mobile& Internet Banking and Mobile Money;', 'Check and settle exception transactions, related charges and commissions/ revenue and other relevant information and informs the concerned organs;', 'Prepares daily, weekly, monthly and quarterly reconciliation report and forwards to concerned staff;', 'Receives and handles any dispute transaction obtained through call center, Customers application, e- mail, Branch and other organs;', 'Generates and collects source document for dispute transactions from ATM, Card Banking, International Payment Scheme, Mobile Money, merchants and third parries;', 'Timely follows up and settles claims from a merchant related with dispute transaction amount and fees ( if any) as per Banks procedure, Payment facilitators scheme and Third party cont ractual Commercial Bank of Ethiopia Job Description agreement;', 'Prepares and organizes adjustment document for posting of disputed transaction;', 'Checks and process weekly commission payment transactions;', 'Handling of daily letter request, Posting & adjustment fund transaction & non fund operation lette r request timely;', 'Daily Amend and process Wrong Branch E-money creation transaction;', 'Request of Exceptional transaction handling and Follow-up on Mobile Money system;', 'Handling of third party reconciliation, release the unclear & Settlement;', 'Performs other duties as assigned.']",17
JD,Digital Banking,None,Domestic Card Transaction Reconciliation,,Banking Operation Officer,9,Professional: P II,"To accomplish transactional activities like reconciliation, posting and give timely response to requesting body in line with the Digital Banking Procedure with efficient service as per SDT.","['Maintains a continuous follow up for settlement of the account and post transaction entries;', 'Generate reports from international payment scheme, Eth -switch, Mobile Money, Core Banking, Card Banking, International Money Transfer Services, Business Intelligence and third parties system for day to day activities;', 'Reconcile POS locked transactions and forward to the concerned staff:', 'Check the deposited FCY amount on prepaid pool account and load to t he respective prepaid card on Card banking system;', 'Reconciles and settles acquiring and issuing Card related transactions made through International Scheme, Eth-switch, Mobile& Internet Banking and Mobile Money;', 'Check and settle exception transactions, related charges and commissions/ revenue and other relevant information and informs the concerned organs;', 'Prepares daily, weekly, monthly and quarterly reconciliation report and forwards to concerned staff;', 'Receives and handles any dispute transaction obtai ned through call center, Customers application, e- mail, Branch and other organs;', 'Generates and collects source document for dispute transactions from ATM, Card Banking, International Payment Scheme, Mobile Money, merchants and third parries;', 'Timely follows up and settles claims from a merchant related with dispute transaction amount and Commercial Bank of Ethiopia Job Description fees ( if any) as per Banks procedure, Payment facilitators scheme and Third party contractual agreement;', 'Prepares and organizes adjustment document for posting of disputed transaction;', 'Checks and process weekly commission payment transactions;', 'Handling of daily letter request, Posting & adjustment fund transaction & non fund operation letter request timely;', 'Daily Amend and process Wrong Branch E-money creation transaction;', 'Request of Exceptional transaction handling and Follow-up on Mobile Money system;', 'Handling of third party reconciliation, release the unclear & Settlement;', 'Performs other duties as assigned.']",17
JD,Digital Banking,None,Domestic Card Transaction Reconciliation,,Junior Officer II,8,Junior Level: JL II,"To accomplish transactional activities like reconciliation, posting and give timely respon se to requesting body in line with the Digital Banking Procedure with efficient service as per SDT.","['Maintains a continuous follow up for settlement of the account and post transaction entries;', 'Generate reports from international payment scheme, Eth -switch, Mobile Money, Core Banking, Card Banking, International Money Transfer Services, Business Intelligence and third parties system for day to day activities;', 'Reconciles and settles acquiring and issuing Card related transactions made through International Scheme, Eth-switch, Mobile& Internet Banking and Mobile Money;', 'Check and settle exception transactions, related charges and commissions/ revenue and other relevant information and informs the concerned organs;', 'Prepares daily, weekly, monthly and quarterly reconciliation report and forwards to concerned staff;', 'Receives and handles any dispute transaction obtained through call center, Customers application, e- mail, Branch and other organs;', 'Generates and collects source document for dispute transactions from ATM, Card Banking, International Payment Scheme, Mobile Money, merchants and third parries;', 'Timely follows up and settles claims from a merchant re lated with dispute transaction amount and fees ( if any) as per Banks procedure, Payment facilitators scheme and Third party contractual agreement;', 'Check and post the prepaid card pool account for new prepaid card request and re -load for reloadable cards as per the requesting organs; Commercial Bank of Ethiopia Job Description', 'Prepares and organizes adjustment document for posting of disputed transaction;', 'Properly checks and settles adjustment request from branches and other third parties;', 'Process weekly commission payment transactions;', 'Handling of daily letter request, Posting & adjustment fund transaction & non fund operation letter request timely;', 'Daily Amend and process Wrong Branch E-money creation transaction;', 'Request of Exceptional transaction handling and Follow-up on Mobile Money system;', 'Handling of third party reconciliation, release the unclear & Settlement;', 'Performs other duties as assigned.']",17
JD,Digital Banking,None,Domestic Card Transaction Reconciliation,,Junior Officer I,7,Junior Level: JL II,"To accomplish transactional activities like reconciliation, posting and give timely response to requesting body in line with the Digital Banking Procedure with efficient service as per SDT.","['Maintains a continuous follow up for settlement of the account and post transaction entries;', 'Generate reports from international payment scheme, Eth -switch, Mobile Money, Core Banking, Card Banking, International Money Transfer Services, Business Intelligence and third parties system for day to day activities;', 'Reconciles and settles acquiring and issuing Card related transactions made through International Scheme, Eth-switch, Mobile& Internet Banking and Mobile Money;', 'Check and settle exception transactions, related charges and commissions/ revenue and other relevant information and informs the concerned organs;', 'Prepares daily, weekly, monthly and quarterly reconciliation report and forwards to concerned staff;', 'Receives and handles any dispute transaction obtained through call center, Customers application, e- mail, Branch and other organs;', 'Generates and collects sourc e document for dispute transactions from ATM, Card Banking, International Payment Scheme, Mobile Money, merchants and third parries;', 'Timely follows up and settles claims from a merchant related with dispute transaction amount and fees ( if any) as per Banks procedure, Payment facilitators scheme and Third party contractual agreement;', 'Check and post the prepaid card pool account for new prepaid card request and re -load for reloadable Commercial Bank of Ethiopia Job Description cards as per the requesting organs;', 'Prepares and organizes adjustment document for posting of disputed transaction;', 'Properly checks and settles adjustment request from branches and other third parties;', 'Process weekly commission payment transactions;', 'Handling of daily letter request, Posting & adjustment fund transaction & non f und operation letter request timely;', 'Daily Amend and process Wrong Branch E-money creation transaction;', 'Request of Exceptional transaction handling and Follow-up on Mobile Money system;', 'Handling of third party reconciliation, release the unclear & Settlement;', 'Performs other duties as assigned.']",17
JD,Digital Banking,None,Domestic Card Transaction Reconciliation,,Bank Trainee,6,Junior Level: JL II,"To accomplish transactional activities like reconciliation, posting and give timely response to requesting body in line with the Digital Banking Procedure with efficient service as per SDT.","['Maintains a continuous follow up for settlement of the account and post transaction entries;', 'Generate reports from international payment scheme, Eth -switch, Mobile Money, Core Banking, Card Banking, International Money Transfer Services, Business Intelligence and third parties system for day to day activities;', 'Reconciles and settles acquiring and issuing Card related transactions made through International Scheme, Eth-switch, Mobile& Internet Banking and Mobile Money;', 'Check and settle exception transactions, related charges and commissions/ revenue and other relevant information and informs the concerned organs;', 'Prepares daily, weekly, monthly and quarterly reconciliation report and forwards to concerned staff;', 'Receives and handles any dispute transaction obtained through call center, Customers application, e- mail, Branch and other organs;', 'Generates and collects source document for dispute transactions from ATM, Card Banking, International Payment Scheme, Mobile Money, merchants and third parries;', 'Timely follows up and settles claims from a merchant related with dispute transaction amount and fees ( if any) as per Banks procedure, Payment facilitators scheme and Third party contractual agreement;', 'Check and post the prepaid card pool account for new prepaid card request and re -load for reloadable Commercial Bank of Ethiopia Job Description cards as per the requesting organs;', 'Prepares and organizes adjustment document for posting of disputed transaction;', 'Properly checks and settles adjustment request from branches and other third parties;', 'Process weekly commission payment transactions;', 'Handling of daily letter request, Posting & adjustment fund transaction & non fund operation letter request timely;', 'Daily Amend and process Wrong Branch E-money creation transaction;', 'Request of Exceptional transaction handling and Follow-up on Mobile Money system;', 'Handling of third party reconciliation, release the unclear & Settlement;', 'Performs other duties as assigned.']",17
JD,Digital Banking,"Senior Reconciliation and Settlement Officer, Reconciliation and Settlement Officer Associate Reconciliation Officer II, Associate Reconciliation Officer I, Banking Operation Officer, Junior Officer II, Junior Officer I, Bank Trainee.",Mobile Money Reconciliation,,Team Leader Mobile Money Reconciliation,14,Operative Level Management: OLM II,"To guide/run the operation of Digital B anking Reconciliation and Dispute Management unit incompliance with Digital Banking Procedure and ensure timely reconciliation& settlement of MB and IB, Mobile money and Card related Digital Transactions.","['Supervises, coordinates, assists and assigns tasks to the team;', 'Leads, motivates and manages the Digital Banking Reconciliation and Dispute Management team;', 'Identifies areas of risk and non -compliance with procedures and advises the Manager of Digital Banking Reconciliation and Dispute Management;', 'Reviews the aging report and takes any appropriate action in consultation with the Manager - Digital Banking Reconciliation and Dispute Management team;', 'Keeps track of lessons learned and shares those lessons with team members;', 'Analyzes the genuineness of expenses incurred in relation with his/her area of assignment;', 'Checks and authorizes Income and Expense settlement transaction entries onT24 and Mobile Mone y system;', 'Closely follows up that charges, fees and commissions are properly settled; Commercial Bank of Ethiopia Job Description', 'Ensures that all transactions are processed accurately and efficiently;', 'Follows up of case escalated to and from different teams and updates the concerned ones;', 'Ensures that all performers in the team discharge duties and responsibilities as indicated in the Digital Banking Procedure;', 'Coordinates and assigns tasks to teams;', 'Conducts periodic performance evaluation of staffs under Digital Banking Reconciliation and Dispute Management Unit;', 'Organizes and involves in the activities of the team;', 'Performs other duties as assigned.']",15
JD,Digital Banking,None,Mobile Money Reconciliation,,Reconciliation and Settlement Officer,12,Experienced Professional: EP II,To assure the expected activities under D igital Banking Reconciliation and Dispute Management are going as per the procedure and to perform tasks that improve the quality of reconciliation and suspense settlement.,"['Maintains a continuous follow up of settlement accounts;', 'Check posted transactions, reconciles and balances of all account receivable, payable accounts and accounts that have suspense nature on a daily basis;', 'Check and authorize financial and non-financial activities on Mobile money system;', 'Approve daily third party standing instructions on Mobile Money system;', 'Maintains tickets, reports and tracer or evidential document under her/his custody for further reference;', 'Prepares suspense aging report and forwards to the Team leader and Manager on monthly basis;', 'Performs other duties as assigned.']",7
JD,Digital Banking,None,Mobile Money Reconciliation,,Associate Reconciliation Officer II,11,Experienced Professional: EP II,"To assure the expected activities under Digital Banking Reconciliation and Dispute Management are going as per the proce dure and to perform tasks that improve the quality of reconciliation, suspense settlement and dispute management.","['Processes merchant file, checks the status of failed transactions and reprocess, forwards merchant file report to the concerned;', 'Process manual refunds on Card Banking system;', 'Maintains a continuous follow up for settlement of the account and post transaction entries;', 'Generate reports fro m international payment scheme, Eth -switch, Mobile Money, Core Banking, Card Banking, International Money Transfer Services, Business Intelligence and third parties system for day to day activities;', 'Checks and release all unsuccessful POS locked transaction on Core banking;', 'Reconciles and settles acquiring and issuing Card related transactions made through International Scheme, Eth-switch, Mobile& Internet Banking and Mobile Money;', 'Check and settle exception transactions, related charges and commissions/ revenue and other relevant information and informs the concerned organs;', 'Prepares daily, weekly, monthly and quarterly reconciliation report and forwards to concerned staff;', 'Receives and handles any dispute transaction obtained through call center, Customers application, e- mail, Branch and other organs;', 'Generates and collects source document for dispute transactions from ATM, Card Banking, International Payment Scheme, Mobile Money, merchants and third parries; Commercial Bank of Ethiopia Job Description', 'Timely follows up and settles claims from a m erchant related with dispute transaction amount and fees ( if any) as per Banks procedure, Payment facilitators scheme and Third party contractual agreement;', 'Prepares and organizes adjustment document for posting of disputed transaction;', 'Process daily third party standing instructions on Mobile Money system;', 'Performs other duties as assigned.']",14
JD,Digital Banking,None,Mobile Money Reconciliation,,Associate Reconciliation Officer II,10,Professional: P II,"To assure the expected activities under Digital Banking Reconciliation and Dispute Management are going as per the procedure and to perform tasks that improve the quality of recon ciliation, suspense settlement and dispute management.","['Processes merchant file, checks the status of failed transactions and reprocess, forwards merchant file report to the concerned;', 'Process manual refunds on Card Banking system;', 'Maintains a continuous follow up for settlement of the account and post transaction entries;', 'Generate reports from international payment scheme, Eth -switch, Mobile Money, C ore Banking, Card Banking, International Money Transfer Services, Business Intelligence and third parties system for day to day activities;', 'Checks and release all unsuccessful POS locked transaction on Core banking;', 'Reconciles and settles acquiring and is suing Card related transactions made through International Scheme, Eth-switch, Mobile& Internet Banking and Mobile Money;', 'Check and settle exception transactions, related charges and commissions/ revenue and other relevant information and informs the concerned organs;', 'Prepares daily, weekly, monthly and quarterly reconciliation report and forwards to concerned staff;', 'Receives and handles any dispute transaction obtained through call center, Customers application, e- mail, Branch and other organs;', 'Generates and collects source document for dispute transactions from ATM, Card Banking, International Payment Scheme, Mobile Money, merchants and third parries; Commercial Bank of Ethiopia Job Description', 'Timely follows up and settles claims from a merchant related with dispute transaction amount and fees ( if any) as per Banks procedure, Payment facilitators scheme and Third party contractual agreement;', 'Prepares and organizes adjustment document for posting of disputed transaction;', 'Process daily third party standing instructions on Mobile Money system;', 'Performs other duties as assigned.']",14
